Category	Text
d	string
class	include=True

соціологія	Термін «соціологія» походить від двох слів: латинського «соціетес» – «суспільство» і грецького «логос» – «слово», «поняття», «вчення». Таким чином, соціологію можна визначити як науку про суспільство. Таке ж визначення цього терміна дає відомий американський вчений Дж. Смелзер. Однак це визначення досить абстрактно, так як суспільство в різних аспектах вивчають і багато інших наук. Для того, щоб зрозуміти особливості соціології, необхідно визначити предмет і об'єкт цієї науки, а також її функції і методи дослідження. Об'єктом будь-якої науки є частина зовнішньої реальності, обраної для вивчення, що володіє певною завершеністю і цілісністю. Як вже було зазначено, об'єктом соціології є суспільство, однак при цьому наука досліджує не окремі його елементи, а все суспільство як цілісну систему. Об'єктом соціології є сукупність властивостей, зв'язків і відносин, які носять назву соціальних. Поняття «соціальне» можна розглядати в двох значеннях: в широкому сенсі воно аналогічно поняттю «суспільне»; у вузькому сенсі соціальне представляє лише аспект суспільних відносин. Соціальні відносини складаються між членами суспільства, коли вони займають певне місце в його структурі і наділені соціальним статусом. Об'єкт соціології – це соціальні зв'язки, соціальна взаємодія, соціальні відносини та спосіб їх організації. Предмет будь-якої науки – це результат теоретичного дослідження обраної частини зовнішньої реальності. Предмет соціології не може бути визначений так само однозначно, як об'єкт. Це обумовлено тим, що на протязі історичного розвитку соціології погляди на предмет цієї науки зазнавали значних змін. Можна виділити ряд підходів до визначення предмета соціології: -Суспільство як особлива сутність, відмінна від індивідів і держави і підпорядкована власним природним законам (О. Конт); -Соціальні факти, під якими слід розуміти колективні у всіх проявах (Е. Дюркгейм); -Соціальну поведінку як ставлення людини, тобто внутрішньо або зовні проявляється позиція, орієнтована на вчинок чи припинення нього (М. Вебер); -Наукове вивчення суспільства як соціальної системи і складових його структурних елементів (базису і надбудови) (марксизм). У сучасній вітчизняній науковій літературі зберігається марксистське розуміння предмета соціології. Необхідно відзначити, що це таїть в собі певну небезпеку, так як уявлення суспільства у вигляді базису і надбудови веде до ігнорування особистості і загальнолюдських цінностей, заперечення світу культури. Тому більш раціонально розглядати предмет соціології більш детально. Предмет соціології – суспільство як сукупність соціальних спільнот, верств, груп, індивідів, що взаємодіють між собою. Причому головним механізмом цієї взаємодії є цілепокладання. Отже, з огляду на всі зазначені особливості, можна дати визначення соціології. Соціологія – це наука про загальні і специфічних соціальних закономірностях організації, функціонування і розвитку суспільства, шляхи, форми і методи їх реалізації, в діях і взаємодіях членів суспільства. Як будь-яка наука, соціологія виконує певні функції в суспільстві, серед яких можна виділити наступні: -Когнітивна (пізнавальна) – соціологічні дослідження сприяють накопиченню теоретичного матеріалу про різні сфери соціального життя; -Критична – дані соціологічних досліджень дозволяють перевірити і оцінити соціальні ідеї і практичні дії; -Прикладна – соціологічні дослідження завжди спрямовані на вирішення практичних завдань і завжди можуть використовуватися для оптимізації суспільства; -Регулятивна – теоретичний матеріал соціології може використовуватися державою для забезпечення соціального порядку і здійснення контролю; -Прогностична – на основі даних соціологічних досліджень можна складати прогнози розвитку суспільства і запобігати негативним наслідкам соціальних дій; -Ідеологічна – соціологічні розробки можуть бути використані різними громадськими силами для формування своєї позиції; -Гуманітарна – соціологія може сприяти вдосконаленню суспільних відносин. Ще одним відмітним ознакою соціології як науки є набір методів дослідження. Метод в соціології – це спосіб побудови і обґрунтування соціологічного знання, сукупність прийомів, процедур і операцій емпіричного і теоретичного пізнання соціальної реальності. Можна виділити три рівні методів вивчення соціальних явищ і процесів. Перший рівень охоплює загальнонаукові методи, використовувані в усіх гуманітарних галузях знань: -Діалектичний; -Системний; -Структурно-функціональний. Другий рівень відображає методи суміжних соціології гуманітарних наук: -Нормативний; - Порівняльний; - Історичний та ін. Методи першого і другого рівнів ґрунтуються на універсальних принципах пізнання. До них відносяться принципи історизму, об'єктивізму та системності. Принцип історизму передбачає дослідження соціальних явищ в контексті історичного розвитку, їх зіставлення з різними подіями історії. Принцип об'єктивізму означає вивчення соціальних явищ у всіх їх суперечливості; неприпустимо вивчення тільки позитивних або тільки негативних фактів. Принцип системності передбачає необхідність дослідження соціальних явищ в нерозривній єдності, виявлення причинно-наслідкових зв'язків. До третього рівня можна віднести методи, що характеризують прикладну соціологію: -Опитування; -Спостереження; -Аналіз документів і ін. Власне соціологічні методи третього рівня ґрунтуються на застосуванні складного математичного апарату (теорії ймовірності, математичної статистики). 1.2 Соціологія в системі гуманітарних наук Цілком очевидно, що, якщо об'єктом соціології є суспільство, то вона тісно стикається з іншими громадськими та гуманітарними науками, що вивчають цю область реальності. Вона не може розвиватися ізольовано від них. Більш того, соціологія включає загальну соціологічну теорію, яка може служити теорією і методологією всіх інших суспільних і гуманітарних наук. Соціологічні методи дослідження суспільства, його елементів, членів і їх взаємодій сьогодні активно застосовуються в багатьох інших науках, наприклад, політології, психології, антропології. У той же час очевидна залежність самої соціології від цих наук, так як вони значно збагачують її теоретичну базу. Іншою істотною причиною тісного взаємозв'язку багатьох суспільних і гуманітарних, в тому числі соціології, наук між собою є їх спільне походження. Так, багато самостійних суспільних наук зародилися в рамках соціальної філософії, яка, в свою чергу, була галуззю загальної філософії. Тісний зв'язок соціології та соціальної філософії проявляється, насамперед, у дуже широкій області збігу об'єкта дослідження. Однак при цьому між даними науками існує значні відмінності, які і дозволяють виділити соціологію в самостійну науку. Перш за все – це предмет дослідження. Якщо соціологія спрямована на дослідження соціальних взаємин членів суспільства, то соціальна філософія досліджує суспільне життя з точки зору світоглядного підходу. Ще більш ці науки різні в методі дослідження своєї предметної області. Так, соціальна філософія орієнтована на філософські методи, що відбивається в теоретичному характер результатів дослідження. Соціологія ж переважно користується власне соціологічними методами, що робить результати дослідження більш практичними. Однак ці відмінності тільки підкреслюють самостійність соціології як науки, але не применшують значення її взаємозв'язку з соціальною філософією. Спираючись на конкретно-історичні реалії, соціальна філософія прагне виявити загальні тенденції та закономірності. Соціологія ж, використовуючи знання цих закономірностей, здійснює аналіз місця і ролі людини в житті суспільства, його взаємодії з іншими членами суспільства в рамках різних соціальних інститутів, досліджує специфіку спільнот різного типу і рівня. Зв'язок соціології з історією також є найбільш тісній і необхідний. Крім загального об'єкта дослідження, ці науки мають також загальні проблеми дослідження. Так, і соціологія, і історія в процесі дослідження стикаються з наявністю певних соціальних закономірностей, з одного боку, і з існуванням індивідуальних, неповторних явищ і процесів, які в значній мірі змінюють траєкторію історичного руху, – з іншого. Успішне вирішення цієї проблеми в обох науках є пріоритетним напрямком, і тому кожна з них може використовувати успішний досвід іншої. Крім того, історичний метод є досить затребуваним в соціології. Використання досягнень соціології в історичній науці також має велике значення, так як це дозволяє вченим-історикам аналізувати історичні явища з позицій описово-факторологічного підходу. Накопичений статистичний матеріал дозволяє повніше розкривати сутність історичних процесів і явищ і підніматися до широких і глибоких історичних узагальнень. Важливою складовою суспільного життя є матеріальне виробництво. Це обумовлює існування тісного зв'язку соціології з економікою. Більш того, в системі соціологічного знання існує така дисципліна, як економічна соціологія. Місце людини в системі праці значно впливає на його положення в соціальній структурі. З іншого боку, під впливом різних соціальних процесів і змін відбувається зміна і самої трудової діяльності. Ще однією суміжною з соціологією наукою є психологія. Областю перетину цих наук є перш за все проблема людини в суспільстві. Однак незважаючи на тісний взаємозв'язок об'єкта наук, їх предмети в значній мірі різні. Психологія в основному зосереджена на вивченні особистісного рівня індивіда, його свідомості та самосвідомості, сфера соціології – це проблеми відносин між індивідами як членами суспільства, тобто міжособистісний рівень. У тій мірі, в якій вчений досліджує особистість як суб'єкт і об'єкт соціального зв'язку, взаємодій і відносин, розглядає особистісні ціннісні орієнтації з соціальних позицій, рольових очікувань і т. ін., він виступає як соціолог. Дана відмінність призвела до виникнення нової дисципліни – соціальної психології, яка поки що входить до складу соціології. Тісний зв'язок існує також між соціологією і політологією. Характер зв'язку визначається тим, що, по-перше, соціальні спільноти, соціальні організації та інститути є найважливішими суб'єктами і об'єктами політики; подруге, політична діяльність є однією з основних форм життєдіяльності особистості і її спільнот, безпосередньо впливає на соціальні зміни в суспільстві; по-третє, політика як дуже широке, складне і багатогранне явище, відоме в усіх сферах суспільного життя і багато в чому визначає розвиток суспільства в цілому. Крім того, в область вивчення обох цих наук входить такий соціальний феномен, як громадянське суспільство. При цьому необхідно пам'ятати, що в основі політичного життя завжди лежать соціальні закономірності, аналіз яких необхідний при дослідженні політичних процесів і явищ. Отже, цілком очевидно, що соціологія знаходиться в тісному взаємозв'язку з системою суспільних та гуманітарних наук і є її елементом. 1.3 Структура соціології Соціологія є диференційованою і структурованою системою знання. Система – упорядкована сукупність елементів, взаємопов'язаних між собою і утворюють певну цілісність. Саме в чіткій структурованості і цілісності системи соціології і проявляється внутрішня інституціоналізація науки, що характеризує її як самостійну. Соціологія як система включає в себе наступні елементи: -Соціальні факти – науково обґрунтовані знання, отримані в ході дослідження будь-якого фрагмента реальності. Соціальні факти встановлюються за допомогою інших елементів системи соціології; -Загальні і спеціальні соціологічні теорії – системи наукового соціологічного знання, спрямовані на вирішення питання про можливості і межах пізнання суспільства в певних аспектах і розвиваються в рамках певних теоретико-методологічних напрямків; -Галузеві соціологічні теорії – системи наукового соціологічного знання, спрямовані на опис окремих сфер життя суспільства, обґрунтування програми конкретних соціологічних досліджень, забезпечення тлумачення емпіричних даних; -Методи збору та аналізу даних – технології отримання емпіричного матеріалу і його первинного узагальнення. Однак крім горизонтальної структури, системи соціологічного знання чітко диференційовані за трьома незалежним рівням. І. Теоретична соціологія (рівень фундаментальних досліджень). Завданням є розгляд суспільства як цілісного організму, розкриття місця і ролі соціальних зв'язків в ньому, формулювання основних принципів соціологічного пізнання, основних методологічних підходів до аналізу соціальних явищ. На цьому рівні відбувається виявлення сутності та природи соціального феномена, його історичної специфіки, спряженість з різними сторонами суспільного життя. ІІ. Спеціальні соціологічні теорії. На цьому рівні розташовуються галузі соціального знання, що мають своїм предметом дослідження відносно самостійних, специфічних підсистем соціального цілого і соціальних процесів. Види спеціальних соціальних теорій: - Теорії, які вивчають закони розвитку окремих соціальних спільнот; -Теорії, що розкривають закономірності і механізми функціонування спільнот в тих чи інших сферах суспільного життя; -Теорії, що аналізують окремі елементи соціального механізму. ІІІ. Соціальна інженерія. Рівень практичного впровадження наукових знань з метою конструювання різних технічних засобів і вдосконалення наявних технологій. Крім зазначених рівнів, в структурі соціологічного знання виділяються макро-, мезо- і мікросоціологія. В рамках макросоціології вивчається суспільство як цілісна система, як єдиний організм, складний, самоврядний, саморегулюючий, що складається з безлічі частин, елементів. Макросоціологія насамперед вивчає: структуру суспільства (які елементи становлять структуру раннього суспільства і які – сучасного), характер змін суспільства. В рамках мезосоціологіі досліджуються наявні в суспільстві групи людей (класи, нації, покоління), а також створені людьми стабільні форми організації життя, названі інститутами: інститут шлюбу, сім'ї, церкви, освіти, держави і т.ін. На рівні мікросоціології ставиться мета пізнання діяльності окремої людини, мотиви, характер дій, стимули і перешкоди. Однак ці рівні не можна розглядати окремо один від одного як незалежно існуючі елементи соціального знання. Навпаки, ці рівні необхідно розглядати в тісному взаємозв'язку, так як розуміння загальної соціальної картини, суспільних закономірностей можливо тільки на основі поведінки окремих суб'єктів суспільства і міжособистісного спілкування. У структурі соціологічного знання виділяються також теоретична і емпірична соціологія. Специфікою теоретичної соціології є те, що вона спирається на емпіричні дослідження, але теоретичні знання переважають над емпіричними, так як саме теоретичні знання в кінцевому рахунку визначають прогрес в будь-якій науці і в соціології теж. Теоретична соціологія – це сукупність різноманітних концепцій, що розробляють аспекти соціального розвитку суспільства і дають їх інтерпретацію. Емпірична соціологія – дослідження прикладного характеру і спрямована на вирішення актуальних практичних питань суспільного життя. Емпірична соціологія на відміну від теоретичної не спрямована на створення всеосяжної картини соціальної дійсності. Цю проблему вирішує теоретична соціологія шляхом створення універсальних соціологічних теорій. У теоретичної соціології відсутня ядро, яке б залишалося стабільним з часу її заснування. Існує безліч концепцій і теорій в теоретичної соціології: матеріалістична концепція розвитку суспільства К. Маркса ґрунтується на пріоритеті економічних факторів у розвитку суспільства (історичний матеріалізм); існують різні концепції стратифікації, індустріального розвитку товариств; конвергенції та ін. Однак необхідно пам'ятати, що певні соціальні теорії не підтверджуються в ході історичного розвитку суспільства. Деякі з них не реалізуються на тому чи іншому етапі суспільного розвитку, інші не витримують випробування часом. Специфікою теоретичної соціології є те, що вона вирішує проблеми вивчення суспільства на основі наукових методів пізнання дійсності. У кожному із зазначених рівнів пізнання конкретизується предмет дослідження. Це дозволяє розглядати соціологію як систему наукового знання. Функціонування даної системи направлено на отримання наукового знання як про всім соціальному організмі, так і про окремі його елементи, які виконують різну роль у процесі його існування. Таким чином, соціологія є багатовимірною і багаторівневою системою наукового знання, яка складається з елементів, що конкретизують загальне знання про предмет науки, методах дослідження і способах його оформлення. 1.4 Система основних категорій і законів в соціології. Основні парадигми соціології Як і будь-яка інша наука, соціологія має свій категоріальний апарат. Категоріальний або понятійний апарат – це одне з найголовніших питань для будь-якої науки. Категорії, поняття кожної науки відображають перш за все якість об'єктивної реальності, яка є предметом даної науки. Предметом соціології є соціальні явища. Так як соціальні явища завжди мають соціальні якості, то і категорії соціології спрямовані, перш за все, на характеристику цих якостей. Соціальні характеристики завжди динамічні і постають самими різними відтінками «цілого», тобто самого соціального явища в цілому. Ця єдність і різноманіття, сталість і рухливість будь-якого соціального явища в його конкретному стані відбивається у відповідних категоріях, поняттях і законах соціології. Особливістю категоріального апарату соціології є його універсальність. Це обумовлюється тим, що багато понять сучасної соціології прийшли в науку з суміжних наук і дисциплін. Серед найбільш уживаних категорій соціології можна виділити «суспільство», «стратифікація», «мобільність», «людина», «спільність», «соціальне» і ін. Система категорій і понять в соціології має складний характер будови і субординаційні залежність понять. Соціальний закон – це вираз істотною, загальної та необхідного зв'язку соціальних явищ і процесів, перш за все зв'язків соціальної діяльності людей або їх власних соціальних дій. Існують загальні і специфічні закони в соціології. Загальні закони соціології – предмет вивчення філософії. Специфічні закони соціології вивчаються саме соціологією і складають її методологічну основу. Крім даної класифікації, існують і інші типи законів, що розрізняються за такими підставами: За часом дії: -Закони, характерні для соціальної системи в будь-який період її існування (закон вартості і товарно-грошових відносин); -Закони, характерні тільки для однієї або декількох соціальних систем, що відрізняються специфічними властивостями (закон переходу від одного типу суспільства до іншого). За способом вияву: -Динамічні – визначають динаміку (напрямок, форми, фактори) соціальних змін, фіксують чітку послідовність соціальних явищ в процесі зміни; - Статистичні – відображають загальні тенденції соціальних явищ незалежно від змін, що відбуваються, характеризують соціальні явища в цілому, а не конкретні їх прояви; -Причинні – фіксують існуючі причинно-наслідкові зв'язки між різними соціальними явищами; -Функціональні – закріплюють строго повторювані і емпірично спостережувані зв'язку між соціальними явищами. Однак, незважаючи на досить великий теоретичний матеріал, питання про закони соціології стоїть дуже гостро. Справа в тому, що в ході історичного розвитку багато історичних подій виходили за рамки існуючих законів. Тому можна стверджувати, що закони насправді виявляються лише описом ймовірних тенденцій розвитку. Це є важливим аргументом противників можливості створення загальних універсальних соціологічних законів. Тому сьогодні прийнято говорити не про соціологічні закони, а про соціологічні закономірності. Ці закономірності засновані на існуванні в суспільстві детермінант, що визначають життя суспільства: влада, ідеологія, економіка. Типологію соціальних закономірностей можна зробити за п'ятьма категоріями, які відображають існуючі між соціальними явищами форми зв'язку: 1)закономірності, що фіксують незмінні зв'язки між соціальними явищами, їх взаємну обумовленість, тобто якщо є явище А, то обов'язково має бути і явище Б; 2)закономірності, що закріплюють тенденції розвитку соціальних явищ, що відображають вплив зміни соціальної дійсності на внутрішню структуру соціального об'єкта; 3)закономірності, що встановлюють закономірності між елементами соціального суб'єкта, що зумовлюють його функціонування (функціональні закономірності) (приклад: чим активніше студенти працюють на заняттях, тим краще вони володіють навчальним матеріалом); 4)закономірності, що закріплюють причинно-наслідкові зв'язки між соціальними явищами (причинні закономірності) (приклад: необхідною умовою підвищення народжуваності в країні є поліпшення соціально-побутових умов для жінок); 5)закономірності, що встановлюють ймовірність зв'язків між соціальними явищами (ймовірні закономірності) (приклад: зростання економічної самостійності жінок підвищує ймовірність розлучень). При цьому необхідно пам'ятати, що соціальні закономірності втілюються в життя в конкретній формі – в діяльності людей. А кожна окрема людина здійснює свою діяльність в конкретних умовах суспільства, в умовах конкретної соціально-політичної або виробничої діяльності, в системі яких він займає певний виробничий і соціальний стан. Якщо ми спостерігаємо за однією людиною, – ми закон не побачимо. Якщо ми спостерігаємо безліч, то з урахуванням відхилень у кожного індивіда в тому чи іншому напрямку отримуємо результуючі, тобто – закономірність. Таким чином, можна стверджувати, що об'єктивність соціальної закономірності формується сукупними діями мільйонів людей. В рамках соціології склався ряд парадигм. Перш за все, необхідно вказати, що парадигма (від грец. – модель) – це сукупність основних положень і принципів, що лежать в основі тієї чи іншої теорії, що володіють спеціальним категоріальним апаратом і зізнаються групою вчених. Вперше термін «парадигма» ввів у науковий обіг американський філософ і історик науки Т. Кун ( «Структура наукових революцій» (1963)). Виходячи з даного визначення, можна стверджувати, що поняття парадигми ширше поняття теорії. Іноді під парадигмою розуміють великі теорії або групи теорій, а також всіма визнані досягнення в цій галузі науки. Необхідно також відзначити, що наявність в соціології декількох парадигм також підтверджує її статус самостійної науки. Всі соціологічні парадигми можна розділити на три рівні: макропарадігми, мікропарадігми і універсальні загальні парадигми. Крім даної класифікації, існують і інші. Однією з найпоширеніших серед них є класифікація російського соціолога Г. В. Осипова, який виділяв наступні групи соціологічних парадигм: 1)парадигми соціальних факторів (структурний функціоналізм і теорія соціальних конфліктів); 2)парадигми соціальних дефініцій (символічний інтеракціоналізм і етнометодологія); 3)парадигми соціальної поведінки (теорії обміну і соціальної дії). У західній соціологічній думці сьогодні виділяються п'ять основних парадигм: -Функціоналізм; -Теорія конфлікту; -Теорія обміну; -Символічний інтеракціоналізм; - Етнометодологія. Таким чином, на сьогоднішній момент не існує загальнонаукового думки про систему соціологічних парадигм. Однак необхідно зупинитися детальніше на характеристиці найбільш поширених в соціології парадигмах. Парадигма соціального конфлікту. Теорія конфлікту, основоположником якої вважається Георг Зіммель, в соціології розроблялася цілою низкою дослідників: Р. Дарендорфом (ФРН), Л. Козером (США), К. Боулдингом (США), М. Крозьє, А. Туреном (Франція), Ю. Гальтунгом (Норвегія) і ін. Прихильники даної теорії розглядають конфлікт як природне явище соціального життя. Його основою є об'єктивно існуюча в суспільстві диференціація. Конфлікт виконує в суспільстві стимулюючу функцію, створюючи передумови для розвитку суспільства. Однак не всі конфлікти грають в суспільстві позитивну роль, тому на державу покладається функція контролю над конфліктами, щоб вони не переростали в стан підвищеної соціальної напруженості. Теорія соціального обміну. Найбільш інтенсивно ця парадигма розвивалася американськими дослідниками Дж. Хоманс, П. Блау, Р. Емерсоном. Суть парадигми полягає в тому, що функціонування людини в суспільстві ґрунтується на обміні різними соціальними благами. Взаємодія між суб'єктами соціальних відносин носить ціннісно-нормативний характер. Дана концепція є проміжною між макросоціологічною і мікросоціологічною парадигмами. Саме в цьому і полягає її головна цінність. Символічний інтернаціоналізм. Дана парадигма також розроблялася в рамках американських соціологічних шкіл Дж. Мідом, Г. Блумером, Т. Шибутані, Т. Партлендом і ін. Підставою символічного інтернаціоналізму є твердження про те, що взаємодія людей відбувається за допомогою інтерпретації символів і знаків. Соціальний прогрес розглядається соціологами як вироблення і зміна соціальних значень, які не мають суворої причинної зумовленості, залежних більше від суб'єктів взаємодії, ніж від об'єктивних причин. Етнометодологія. Парадигма, тісно пов'язана з символічним інтернаціоналізмом (вона також заснована на вивченні соціальної взаємодії), розроблялася американським соціологом Г. Гарфинкелем. Основою цієї парадигми є вивчення смислів, які люди надають соціальним явищам. Ця концепція виникла в результаті розширення методологічної бази соціології і включення в неї методів вивчення різних громад і примітивних культур і переведення їх на мову процедур аналізу сучасних соціальних і культурних явищ і процесів. Неомарксистська парадигма. Вона розвивалася представниками франкфуртської школи – М. Хоркхаймером, Т. Адорно, Г. Маркузе, Ю. Хабермасом. Неомарксісткая концепція ґрунтується на такому соціальному явищі, як відчуження, яке розглядається як соціально-економічне явище. Дана парадигма стала переглядом основ марксизму і перш за все прагненням обґрунтувати розрив «праці» і «інтеракції» в тому сенсі, що на зміну першому як пануючому типу відносин приходить універсальне взаємодія людей у всіх сферах життя. Звичайно ж, багатство парадигм соціології не вичерпується цим переліком. Однак сьогодні саме вони є провідними в соціологічних дослідженнях і побудові соціологічних теорій. Особлива увага в сучасних соціологічних парадигмах приділяється міжособистісним взаємодіям, динаміці розвитку особистості, зміни соціальних смислів і значень, які розкривають перетворення широких соціальних структур. Взагалі необхідно відзначити, що в сучасній соціології дуже яскраво проявляється тенденція до плюралізму різних парадигм, що виражається в посиленні диференціації системи соціологічного знання. Дана особливість гостро ставить проблему розробки і проведення єдиної теоретико- методологічної лінії в соціології. Цей факт дозволяє говорити про соціологію як про «мультипарадигмальной» науку.
